Date,EU_price_wo_tax_euro95,EU_price_wo_tax_diesel,EUR_price_wo_tax_euro95,EUR_price_wo_tax_diesel,AT_price_wo_tax_euro95,AT_price_wo_tax_diesel,BE_price_wo_tax_euro95,BE_price_wo_tax_diesel,BG_price_wo_tax_euro95,BG_price_wo_tax_diesel,CY_price_wo_tax_euro95,CY_price_wo_tax_diesel,CZ_price_wo_tax_euro95,CZ_price_wo_tax_diesel,DE_price_wo_tax_euro95,DE_price_wo_tax_diesel,DK_price_wo_tax_euro95,DK_price_wo_tax_diesel,EE_price_wo_tax_euro95,EE_price_wo_tax_diesel,ES_price_wo_tax_euro95,ES_price_wo_tax_diesel,FI_price_wo_tax_euro95,FI_price_wo_tax_diesel,FR_price_wo_tax_euro95,FR_price_wo_tax_diesel,GR_price_wo_tax_euro95,GR_price_wo_tax_diesel,HR_price_wo_tax_euro95,HR_price_wo_tax_diesel,HU_price_wo_tax_euro95,HU_price_wo_tax_diesel,IE_price_wo_tax_euro95,IE_price_wo_tax_diesel,IT_price_wo_tax_euro95,IT_price_wo_tax_diesel,LT_price_wo_tax_euro95,LT_price_wo_tax_diesel,LU_price_wo_tax_euro95,LU_price_wo_tax_diesel,LV_price_wo_tax_euro95,LV_price_wo_tax_diesel,MT_price_wo_tax_euro95,MT_price_wo_tax_diesel,NL_price_wo_tax_euro95,NL_price_wo_tax_diesel,PL_price_wo_tax_euro95,PL_price_wo_tax_diesel,PT_price_wo_tax_euro95,PT_price_wo_tax_diesel,RO_price_wo_tax_euro95,RO_price_wo_tax_diesel,SE_price_wo_tax_euro95,SE_price_wo_tax_diesel,SI_price_wo_tax_euro95,SI_price_wo_tax_diesel,SK_price_wo_tax_euro95,SK_price_wo_tax_diesel,UK_price_wo_tax_euro95,UK_price_wo_tax_diesel
2026-05-18,1007.5629163086404,1146.2761784542,1011.4638436830494,1156.3077268528132,916.91,1072.54,960.8082421487604,1145.1802429752067,891.8160976840181,1109.3721114139094,944.6109243697479,1186.8042016806723,912.1321879095743,1053.2573795186352,1054.5067226890756,1165.3428571428572,1160.7991115036195,1180.3353270978014,848.9354838709678,1038.1290322580644,1047.8997945454546,1202.0378915454544,891.435474446974,1194.737609797002,1045.2999999999997,1157.8666666666668,993.5309677419353,1039.379677419355,944.49,1122.8,909.3327306857979,990.7408969543031,880.1289430894309,1111.8093495934959,964.6573770491802,1152.288524590164,932.5619834710744,1092.978512396694,989.859758974359,1086.6820512820514,919.6995041322314,1108.3235537190083,586.21,553.02,1125.586776859504,1330.190082644628,1019.1996177421968,1126.6135136136656,1033.9555513463333,1114.187314267862,867.9703994775931,1033.262368612937,1010.1128214497785,1184.34202713196,870.7522950819672,1000.198524590164,890.2524390243902,982.5939024390244,,
2026-05-11,1000.5884064927582,1171.284893670504,1002.4157734608938,1179.0710745858087,902.75,1071.71,1003.7999776859504,1193.560408264463,881.3160976840182,1129.2054447472428,943.3924369747899,1228.989075630252,919.4601216658804,1117.4393988641757,1031.8176470588237,1163.6621848739496,1128.7905146802987,1191.1516741161042,821.516129032258,1061.516129032258,1042.1931455454546,1231.6898385454544,982.9313955245684,1376.0694253917666,1045.875,1189.6333333333332,970.9503225806451,1064.379677419355,947.69,1148.4,921.8837429083137,1006.184051915276,872.730569105691,1117.3378048780487,961.5590163934426,1182.7721311475411,925.5206611570248,1118.209917355372,959.945229059829,1105.48547008547,908.6251239669423,1156.1252066115703,586.21,553.02,1117.42,1332.83,1016.0246738375637,1169.675233563521,1002.1153074438944,1125.839428089,867.211392126991,1043.024074877413,977.189353192663,1173.8702707672505,858.6498360655737,1061.0055737704918,883.7483739837398,1031.3743902439023,,
2026-05-04,990.2014867969749,1210.2440767773526,984.5143764631879,1214.5620346316737,900.25,1143.37,946.3041099173554,1144.4694991735537,870.9827643506849,1134.2054447472428,926.1151260504201,1247.4596638655462,906.1534724262109,1129.3610516226543,1071.3134453781513,1262.8218487394956,1182.3352291736367,1308.9327534292406,836.0322580645161,1076.8387096774193,1030.2839315454546,1247.1749075454545,996.2025533176381,1369.5621212749004,1018.575,1192.9083333333333,963.6922580645161,1092.6054838709679,907.69,1173.2,904.8225819694959,992.4681057314448,863.1370731707316,1131.158943089431,843.7229508196722,1203.8131147540983,910.5785123966941,1149.9537190082644,967.6375367521367,1169.5880341880343,857.2201652892562,1123.9185950413223,586.21,553.02,1126.2231404958677,1396.9256198347107,1035.0603578163627,1226.8319988184066,1013.2283968747886,1189.319915893878,846.9928768557359,1059.8440314589243,1027.226580526073,1306.1005999077063,824.4203278688524,1068.5055737704918,891.0654471544715,1095.6020325203253,,
2026-04-27,964.7762824080606,1184.566202049423,966.7314229648284,1196.9951350548185,862.75,1099.21,905.725597520661,1130.0728049586776,867.6494310173515,1142.5387780805763,918.0394957983194,1247.1571428571428,863.993821926393,1082.2381401718312,998.9806722689075,1200.5731092436974,1107.3789577924686,1223.2690094478496,810.2786885245902,1059.7049180327867,1008.1285595454544,1240.2520835454545,940.9846895946648,1351.7724105525724,989.6666666666665,1195.7583333333332,931.434193548387,1090.9925806451613,901.29,1178.8,901.0018916832507,978.0303324140092,874.9256910569104,1195.5491869918699,946.8295081967212,1215.2639344262295,868.8925619834712,1140.9537190082644,934.3042034188034,1134.5452991452992,857.2201652892562,1123.9185950413223,586.21,553.02,1072.2892561983472,1351.7851239669421,975.3504391800842,1167.1012881147549,955.8788846796667,1116.939346788187,810.3990732850273,971.7659940889805,963.9523566760903,1238.6522686193632,822.0678688524591,1108.800655737705,818.7077235772358,1045.1955284552846,,
2026-04-20,952.7752362174803,1212.168788720413,959.3051594370871,1228.7551751612802,845.25,1130.87,915.9735314049587,1212.320738842975,868.98,1147.96,916.7873949579832,1229.4008403361345,853.5169986481654,1121.5051945086866,967.0478991596638,1160.2369747899158,1064.4418872266974,1212.433430567078,814.3770491803278,1111.344262295082,1020.0524535454547,1313.3436505454545,839.9367076095618,1278.9910721381143,995.2666666666664,1262.6083333333336,917.7245161290322,1145.0248387096774,917.29,1241.2,904.5521831178792,985.1298704629783,946.2265040650407,1277.3378048780487,972.0344262295082,1260.4688524590165,847.3801652892562,1182.9123966942147,901.825570940171,1135.4,863.3358677685951,1194.14173553719,586.21,553.02,1035.8099173553717,1339.801652892562,948.290416357671,1180.4855095666287,933.1146570373902,1143.2055256499757,737.2228501730699,949.3653413073444,928.151553141106,1245.9302595533268,846.3465573770492,1176.6777049180328,823.5857723577236,1033.000406504065,,
2026-04-13,975.5332836115565,1291.769934993852,982.8625460397387,1302.1480400966798,867.75,1236.71,949.3784900826447,1322.163714049587,862.0660976840181,1132.7887780805763,907.8546218487395,1209.1067226890757,872.4368062519451,1216.1653001046193,996.4596638655462,1279.5647058823529,1075.2472332624086,1308.8977210379114,834.8688524590164,1258.8852459016393,1052.2286385454545,1383.4054435454545,879.7534406772909,1325.4386152988052,1006.5833333333333,1320.75,947.5632258064517,1235.3474193548388,923.69,1262.0,896.214109684036,982.3512950221019,954.2752845528455,1283.9231707317072,988.304918032787,1292.2147540983606,880.1404958677685,1223.6314049586776,901.825570940171,1250.7846153846153,898.046611570248,1291.5219008264462,586.21,553.02,1065.8347107438015,1482.314049586777,968.2346638420588,1306.0602127223046,942.8707545983658,1241.9853630483497,845.0141985632355,1091.1747403106108,930.0403966213736,1339.919206757253,836.707213114754,1158.595737704918,803.260569105691,1015.1142276422764,,
2026-04-06,997.2862372981242,1299.09393315357,1008.5222555447565,1304.6941809135005,925.25,1364.21,967.1966719008265,1308.6595818181818,853.1494310173516,1082.5387780805763,901.9638655462185,1208.6025210084035,875.4852605119987,1228.147484831977,1080.4932773109244,1413.1781512605041,1107.3937771830044,1330.3445968551357,861.9180327868853,1239.2131147540983,1053.4409585454546,1318.2523675454545,880.773360996016,1288.6457866135456,1002.8166666666666,1253.9166666666665,956.434193548387,1246.637741935484,889.29,1164.4,863.5232922172886,963.1356652043364,924.6817886178861,1233.110162601626,971.304918032787,1241.9196721311475,888.4297520661157,1246.4495867768594,933.4495025641025,1403.7760683760685,901.84826446281,1164.3235537190083,586.21,553.02,1104.7438016528927,1578.1487603305784,969.2252546713421,1338.5559067667737,964.821974110561,1281.009753292252,884.9397099803377,1121.0015789900153,961.929026387625,1399.2356687898086,813.9203278688525,1090.5055737704918,800.0085365853658,1015.9272357723578,,
2026-03-30,973.0660925887148,1246.8628316157765,974.3105546349252,1245.3102307491235,951.91,1294.21,927.3702256198346,1239.0728049586776,840.5660976840181,1019.6221114139096,887.0142857142857,1137.7621848739495,869.6819923565079,1220.0810795801633,990.5773109243696,1288.8084033613445,1075.2472332624086,1319.6033562166288,825.032786885246,1221.1803278688524,1057.0334445454544,1285.5114285454545,910.2554327091636,1298.5262647011948,984.0916666666667,1216.5,934.66,1283.7345161290323,891.69,1174.8,842.9460621136303,933.9381317518918,987.771219512195,1297.5817073170733,947.8868852459016,1193.2721311475411,874.9308790383169,1202.3669421487602,883.876852991453,1249.0752136752137,927.6333884297521,1157.7119834710743,586.21,553.02,1080.99173553719,1477.7438016528927,1010.6180207243635,1310.5366344144677,942.9888033788536,1225.8422736174552,918.1912862575421,1129.2445999543456,930.0201723821748,1356.02420685861,731.944918032787,968.2186885245903,728.4638211382114,963.8947154471546,,
2026-03-23,961.7234554136787,1207.3847750195662,967.2672445671736,1207.3435456902926,920.25,1215.04,888.6016305785125,1188.3124743801654,798.8994310173515,957.8721114139095,809.3084033613445,1020.3168067226891,863.0756302578351,1187.6049775791946,987.2159663865546,1298.0521008403362,1086.2435916313063,1341.3736329928922,863.5573770491803,1190.032786885246,1029.8263024916164,1233.7109667123957,962.8450741434262,1337.7692925896413,953.9833333333333,1149.825,927.401935483871,1232.928064516129,739.69,968.27,866.6662972998013,965.0477816146711,823.740325203252,1075.2143089430897,985.0836065573772,1185.4196721311475,863.8099173553719,1182.3504132231405,906.9537760683761,1249.9299145299146,863.3358677685951,1137.050826446281,586.21,553.02,1091.495867768595,1487.512396694215,940.1274234058336,1218.082032932794,947.0538440292601,1204.7040622353416,879.8658850972288,1040.3372881490595,972.0349679771866,1425.4219064092374,626.5832786885246,773.8454098360655,691.0654471544715,871.2117886178862,,
2026-03-16,879.403820484558,1079.8451318578855,884.283080166177,1085.813878898311,838.58,1085.87,797.6760107438017,1030.2876809917354,746.3160976840182,867.0387780805761,756.9554621848739,924.501680672269,764.9126272171258,1031.5866442817737,949.4008403361345,1171.161344537815,1032.5214132762312,1201.9539614561027,762.7377049180327,1026.9180327868853,939.4940044958679,1139.0057964958676,838.3762826427649,1169.3629180876494,891.4083333333333,1073.6416666666664,836.2729032258063,1109.5409677419354,727.69,951.47,839.776,927.09,782.6834146341464,951.6370731707318,818.2393442622952,993.8622950819672,789.5702479338844,1059.39173553719,844.5606136752137,1056.7675213675213,769.1209917355372,1051.1004132231405,586.21,553.02,1021.5289256198348,1313.1983471074382,856.8669178626759,1052.1299896193848,873.6142505333253,1071.9399971946912,782.1305790639343,906.3557866893598,878.7816881790324,1222.9919212554555,608.5832786885246,740.5339344262295,685.3743902439024,834.6264227642278,,
