Date,country,fuel_type,price_type,price_per_1000l
2024-03-18,EU,euro95,wo_tax,809.0055113829096
2024-03-11,EU,euro95,wo_tax,804.6439349266558
2024-03-04,EU,euro95,wo_tax,804.1947721686269
2024-02-26,EU,euro95,wo_tax,803.782455492802
2024-02-19,EU,euro95,wo_tax,805.7280652977946
2024-02-12,EU,euro95,wo_tax,791.7965327314122
2024-02-05,EU,euro95,wo_tax,775.9292850476422
2024-01-29,EU,euro95,wo_tax,769.907149817743
2024-01-22,EU,euro95,wo_tax,752.4637684480795
2024-01-15,EU,euro95,wo_tax,749.7749287998507
2024-01-08,EU,euro95,wo_tax,752.2778629841207
2024-01-01,EU,euro95,wo_tax,749.3792499601859
2023-12-25,EU,euro95,wo_tax,757.3453860085522
2023-12-18,EU,euro95,wo_tax,756.0320925155845
2023-12-11,EU,euro95,wo_tax,769.7790024729355
2023-12-04,EU,euro95,wo_tax,785.7747098504667
2023-11-27,EU,euro95,wo_tax,795.4605804262046
2023-11-20,EU,euro95,wo_tax,802.0290687952933
2023-11-13,EU,euro95,wo_tax,817.573766878731
2023-11-06,EU,euro95,wo_tax,833.0245280254487
2023-10-30,EU,euro95,wo_tax,831.571770707369
2023-10-23,EU,euro95,wo_tax,837.9834334951933
2023-10-16,EU,euro95,wo_tax,839.6907051751667
2023-10-09,EU,euro95,wo_tax,861.1326264555868
2023-10-02,EU,euro95,wo_tax,889.1606293812796
2023-09-25,EU,euro95,wo_tax,901.44435974368
2023-09-18,EU,euro95,wo_tax,900.7565000372308
2023-09-11,EU,euro95,wo_tax,894.7251156464232
2023-09-04,EU,euro95,wo_tax,896.356537468304
2023-08-28,EU,euro95,wo_tax,891.8310266094771
2023-08-21,EU,euro95,wo_tax,882.3933138628311
2023-08-14,EU,euro95,wo_tax,878.3841008448416
2023-08-07,EU,euro95,wo_tax,868.6615633224804
2023-07-31,EU,euro95,wo_tax,856.5978135794256
2023-07-24,EU,euro95,wo_tax,834.5385967126404
2023-07-17,EU,euro95,wo_tax,826.0080570243882
2023-07-10,EU,euro95,wo_tax,818.493059698556
2023-07-03,EU,euro95,wo_tax,820.1230389410068
2023-06-26,EU,euro95,wo_tax,815.6163103646669
2023-06-19,EU,euro95,wo_tax,815.7916591246108
2023-06-12,EU,euro95,wo_tax,818.1119658756361
2023-06-05,EU,euro95,wo_tax,807.3524882004426
2023-05-29,EU,euro95,wo_tax,810.552535230727
2023-05-22,EU,euro95,wo_tax,799.2610450693627
2023-05-15,EU,euro95,wo_tax,797.8890271693572
2023-05-08,EU,euro95,wo_tax,803.9879576058855
2023-05-01,EU,euro95,wo_tax,823.4777927043866
2023-04-24,EU,euro95,wo_tax,834.0223726242547
2023-04-17,EU,euro95,wo_tax,854.5930719713972
2023-04-10,EU,euro95,wo_tax,848.6355453852473
2023-04-03,EU,euro95,wo_tax,828.4984983575315
2023-03-27,EU,euro95,wo_tax,813.3252609608658
2023-03-20,EU,euro95,wo_tax,809.0080926854539
2023-03-13,EU,euro95,wo_tax,826.1251886896995
2023-03-06,EU,euro95,wo_tax,823.647820106176
2023-02-27,EU,euro95,wo_tax,818.026861451123
2023-02-20,EU,euro95,wo_tax,821.6642271344814
2023-02-13,EU,euro95,wo_tax,819.3978189008171
2023-02-06,EU,euro95,wo_tax,823.602933661891
2023-01-30,EU,euro95,wo_tax,835.728613481733
2023-01-23,EU,euro95,wo_tax,814.2341929342005
2023-01-16,EU,euro95,wo_tax,796.1569136362891
2023-01-09,EU,euro95,wo_tax,791.6753248305226
2023-01-02,EU,euro95,wo_tax,775.1710427621184
2022-12-26,EU,euro95,wo_tax,796.5847216863847
2022-12-19,EU,euro95,wo_tax,799.9980435944877
2022-12-12,EU,euro95,wo_tax,813.9446557474652
2022-12-05,EU,euro95,wo_tax,862.2067716175762
2022-11-28,EU,euro95,wo_tax,874.1118578173958
2022-11-21,EU,euro95,wo_tax,903.4821033924584
2022-11-14,EU,euro95,wo_tax,938.7437771949604
2022-11-07,EU,euro95,wo_tax,951.1783142963756
2022-10-31,EU,euro95,wo_tax,942.5904624844457
2022-10-24,EU,euro95,wo_tax,950.2315539100694
2022-10-17,EU,euro95,wo_tax,968.3782270311924
2022-10-10,EU,euro95,wo_tax,940.7618748314876
2022-10-03,EU,euro95,wo_tax,897.9517806678625
2022-09-26,EU,euro95,wo_tax,901.2109588607808
2022-09-19,EU,euro95,wo_tax,919.580898679969
2022-09-12,EU,euro95,wo_tax,942.029944208452
2022-09-05,EU,euro95,wo_tax,970.132737335948
2022-08-29,EU,euro95,wo_tax,1012.108728830894
2022-08-22,EU,euro95,wo_tax,999.9027742113714
2022-08-15,EU,euro95,wo_tax,1009.745697298628
2022-08-08,EU,euro95,wo_tax,1033.0048828623153
2022-08-01,EU,euro95,wo_tax,1080.5575799903638
2022-07-25,EU,euro95,wo_tax,1101.0695026181493
2022-07-18,EU,euro95,wo_tax,1142.4438357214294
2022-07-11,EU,euro95,wo_tax,1169.8742855166809
2022-07-04,EU,euro95,wo_tax,1198.186865928008
2022-06-27,EU,euro95,wo_tax,1215.979163591916
2022-06-20,EU,euro95,wo_tax,1231.413157760073
2022-06-13,EU,euro95,wo_tax,1232.4253981092209
2022-06-06,EU,euro95,wo_tax,1209.8484608777596
2022-05-30,EU,euro95,wo_tax,1125.652296210041
2022-05-23,EU,euro95,wo_tax,1101.86423286156
2022-05-16,EU,euro95,wo_tax,1067.3245788996596
2022-05-09,EU,euro95,wo_tax,1036.8784760025444
2022-05-02,EU,euro95,wo_tax,1007.7760361334216
2022-04-25,EU,euro95,wo_tax,983.205199261864
2022-04-11,EU,euro95,wo_tax,976.0199859098708
2022-04-04,EU,euro95,wo_tax,999.8501982291452
2022-03-28,EU,euro95,wo_tax,1028.0004345561194
2022-03-21,EU,euro95,wo_tax,1017.6416458704869
2022-03-14,EU,euro95,wo_tax,1070.9495643234638
2022-03-07,EU,euro95,wo_tax,940.1698438914838
2022-02-28,EU,euro95,wo_tax,845.4364813769262
2022-02-21,EU,euro95,wo_tax,811.871167556916
2022-02-14,EU,euro95,wo_tax,803.4760351695875
2022-02-07,EU,euro95,wo_tax,790.5889228885882
2022-01-31,EU,euro95,wo_tax,776.8382514282258
2022-01-24,EU,euro95,wo_tax,760.6861511991202
2022-01-17,EU,euro95,wo_tax,747.2367738130383
2022-01-10,EU,euro95,wo_tax,739.5875021167559
2022-01-03,EU,euro95,wo_tax,732.753297263011
2021-12-20,EU,euro95,wo_tax,716.2687246711175
2021-12-13,EU,euro95,wo_tax,718.8630244283363
2021-12-06,EU,euro95,wo_tax,721.87129958399
2021-11-29,EU,euro95,wo_tax,745.2311540876065
2021-11-22,EU,euro95,wo_tax,756.3792006991399
2021-11-15,EU,euro95,wo_tax,762.1487803359912
2021-11-08,EU,euro95,wo_tax,761.302303792716
2021-11-01,EU,euro95,wo_tax,753.0180464601591
2021-10-25,EU,euro95,wo_tax,745.3287054825944
2021-10-18,EU,euro95,wo_tax,738.3464019229406
2021-10-11,EU,euro95,wo_tax,720.0824751245384
2021-10-04,EU,euro95,wo_tax,696.5715598551428
2021-09-27,EU,euro95,wo_tax,679.7012951563902
2021-09-20,EU,euro95,wo_tax,679.8011808982674
2021-09-13,EU,euro95,wo_tax,675.3510849819783
2021-09-06,EU,euro95,wo_tax,669.9862444798006
2021-08-30,EU,euro95,wo_tax,664.4858014953023
2021-08-23,EU,euro95,wo_tax,660.2417801338818
2021-08-16,EU,euro95,wo_tax,667.9272040375804
2021-08-09,EU,euro95,wo_tax,669.1966256912232
2021-08-02,EU,euro95,wo_tax,668.171945268652
2021-07-26,EU,euro95,wo_tax,661.4746282449182
2021-07-19,EU,euro95,wo_tax,662.2138347404135
2021-07-12,EU,euro95,wo_tax,654.9607652463034
2021-07-05,EU,euro95,wo_tax,648.1461662168056
2021-06-28,EU,euro95,wo_tax,639.8994778899445
2021-06-21,EU,euro95,wo_tax,624.9057642069122
2021-06-14,EU,euro95,wo_tax,618.3197175362616
2021-06-07,EU,euro95,wo_tax,608.4882545271398
2021-05-31,EU,euro95,wo_tax,608.6759425242101
2021-05-24,EU,euro95,wo_tax,608.3342737291741
2021-05-17,EU,euro95,wo_tax,608.5983364144054
2021-05-10,EU,euro95,wo_tax,607.7743673252949
2021-05-03,EU,euro95,wo_tax,596.6384137141802
2021-04-26,EU,euro95,wo_tax,594.5352590242512
2021-04-19,EU,euro95,wo_tax,593.5339563084408
2021-04-12,EU,euro95,wo_tax,589.4799692596098
2021-03-29,EU,euro95,wo_tax,584.5572030600358
2021-03-22,EU,euro95,wo_tax,585.9205150684434
2021-03-15,EU,euro95,wo_tax,585.0230323448989
2021-03-08,EU,euro95,wo_tax,567.6709836458335
2021-03-01,EU,euro95,wo_tax,552.9433086326845
2021-02-22,EU,euro95,wo_tax,541.281666278004
2021-02-15,EU,euro95,wo_tax,524.302498055025
2021-02-08,EU,euro95,wo_tax,516.441743538096
2021-02-01,EU,euro95,wo_tax,504.1747511189837
2021-01-25,EU,euro95,wo_tax,502.0769591018761
2021-01-18,EU,euro95,wo_tax,497.25849473133457
2021-01-11,EU,euro95,wo_tax,482.7871956864458
2020-12-21,EU,euro95,wo_tax,454.643487477965
2020-12-14,EU,euro95,wo_tax,446.4444127519365
2020-12-07,EU,euro95,wo_tax,443.8706053085669
2020-11-30,EU,euro95,wo_tax,442.5410221977525
2020-11-23,EU,euro95,wo_tax,435.1983312488205
2020-11-16,EU,euro95,wo_tax,430.6341875511379
2020-11-09,EU,euro95,wo_tax,420.4833255812741
2020-11-02,EU,euro95,wo_tax,423.3179602986775
2020-10-26,EU,euro95,wo_tax,436.5112039440028
2020-10-19,EU,euro95,wo_tax,444.4479662311575
2020-10-12,EU,euro95,wo_tax,449.6212530732687
2020-10-05,EU,euro95,wo_tax,447.1890362348578
2020-09-28,EU,euro95,wo_tax,445.43384711712855
2020-09-21,EU,euro95,wo_tax,447.72029186724745
2020-09-14,EU,euro95,wo_tax,446.73795263233103
2020-09-07,EU,euro95,wo_tax,452.6351133042564
2020-08-31,EU,euro95,wo_tax,455.2008824033383
2020-08-24,EU,euro95,wo_tax,451.1877577900984
2020-08-17,EU,euro95,wo_tax,449.9253206880747
2020-08-10,EU,euro95,wo_tax,445.678884692308
2020-08-03,EU,euro95,wo_tax,444.8432383890555
2020-07-27,EU,euro95,wo_tax,452.4267434104396
2020-07-20,EU,euro95,wo_tax,447.6047869667205
2020-07-13,EU,euro95,wo_tax,449.66499027145227
2020-07-06,EU,euro95,wo_tax,441.9004755579394
2020-06-29,EU,euro95,wo_tax,431.9072695864292
2020-06-22,EU,euro95,wo_tax,425.3445605095394
2020-06-15,EU,euro95,wo_tax,410.859052457454
2020-06-08,EU,euro95,wo_tax,400.0098622317213
2020-06-01,EU,euro95,wo_tax,389.36417510247145
2020-05-25,EU,euro95,wo_tax,380.9664151837565
2020-05-18,EU,euro95,wo_tax,366.8428293979943
2020-05-11,EU,euro95,wo_tax,359.54580552441354
